locationName,postalCode,streetAddress,streetAddress2,fullAddress,city,state,storeID
Fountains at Farrah,79925,8889 Gateway Blvd. West,Suite 1400,"8889 Gateway Blvd. West, Suite 1400, El Paso, TX, 79925",El Paso,TX,1689
East Cobb,30062,4101 Roswell Road,Suite 812,"4101 Roswell Road, Suite 812, Marietta, GA, 30062",Marietta,GA,1688
DFW,75261,3200 E. Airfield Drive,Terminal A Gate A25,"3200 E. Airfield Drive, Terminal A Gate A25, Dallas, TX, 75261",Dallas,TX,1686
Dallas Love Field,75235,8008 Cedar Springs Rd.,Terminal 2 Gate 6,"8008 Cedar Springs Rd., Terminal 2 Gate 6, Dallas, TX, 75235",Dallas,TX,1685
Columbia,21045,6211 Columbia Crossing,,"6211 Columbia Crossing, Columbia, MD, 21045",Columbia,MD,1683
Collin Creek,75075,520 W. 15th Street,,"520 W. 15th Street, Plano, TX, 75075",Plano,TX,1682
Buford,30519,1795 Mall of Georgia Boulevard,,"1795 Mall of Georgia Boulevard, Buford, GA, 30519",Buford,GA,1675
Bethesda,20814,7607 Old Georgetown Road,,"7607 Old Georgetown Road, Bethesda, MD, 20814",Bethesda,MD,1674
Bailey's Crossroads,22041,5861 Crossroads Center Way,,"5861 Crossroads Center Way, Bailey's Crossroads, VA, 22041",Bailey's Crossroads,VA,1673
Gwinnett,30096,2255 Pleasant Hill Road,Suite 480,"2255 Pleasant Hill Road, Suite 480, Duluth, GA, 30096",Duluth,GA,1697
Kingsgate,79424,8201 Quaker Avenue,Suite 118,"8201 Quaker Avenue, Suite 118, Lubbock, TX, 79424",Lubbock,TX,1701
West Little Rock,72211,12210 W. Markham Drive,,"12210 W. Markham Drive, Little Rock, AR, 72211",Little Rock,AR,1706
Mandeville,70471,3434 Highway 190,,"3434 Highway 190, Mandeville, LA, 70471",Mandeville,LA,1709
Tanglewood,77057,5885 San Felipe Street,Suite 100,"5885 San Felipe Street, Suite 100, Houston, TX, 77057",Houston,TX,1740
Tyler,75701,419 WSW Loop 323,,"419 WSW Loop 323, Tyler, TX, 75701",Tyler,TX,1745
Tulsa Hills,74107,8115 S. Olympia Avenue West,,"8115 S. Olympia Avenue West, Tulsa, OK, 74107",Tulsa,OK,1744
Town & Country,77024,770 W. Sam Houston Parkway N.,Suite 100,"770 W. Sam Houston Parkway N., Suite 100, Houston, TX, 77024",Houston,TX,1743
The Forum,78154,8134 Agora Parkway,Suite 100,"8134 Agora Parkway, Suite 100, Live Oak, TX, 78154",Live Oak,TX,1741
Sunset Valley,78745,5493 Brodie Lane,,"5493 Brodie Lane, Austin, TX, 78745",Austin,TX,1739
South Arlington,76015,4201 S. Cooper Street,Suite 731,"4201 S. Cooper Street, Suite 731, Arlington, TX, 76015",Arlington,TX,1738
Shops at Martial,70508,2207-I Kaliste Saloom Road,,"2207-I Kaliste Saloom Road, Lafayette, LA, 70508",Lafayette,LA,1737
Severn,70002,3300 Severn,Suite 201,"3300 Severn, Suite 201, Metairie, LA, 70002",Metairie,LA,1736
San Tan Village,85296,2156 E. Williams Field Rd.,Suite 101,"2156 E. Williams Field Rd., Suite 101, Gilbert, AZ, 85296",Gilbert,AZ,1734
San Jacinto,75201,2100 Ross Avenue,Suite 120,"2100 Ross Avenue, Suite 120, Dallas, TX, 75201",Dallas,TX,1733
Rockwall,75087,987 East I-30,,"987 East I-30, Rockwall, TX, 75087",Rockwall,TX,1732
River Oaks,77019,2047-A West Gray,,"2047-A West Gray, Houston, TX, 77019",Houston,TX,1731
Preston Forest,75230,11930 Preston Road,Suite 100,"11930 Preston Road, Suite 100, Dallas, TX, 75230",Dallas,TX,1729
Plano,75093,5000 W. Park Boulevard,Suite 100,"5000 W. Park Boulevard, Suite 100, Plano, TX, 75093",Plano,TX,1726
Uptown,87110,2110 Louisiana Blvd. NE,,"2110 Louisiana Blvd. NE, Albuquerque, NM, 87110",Albuquerque,NM,1487
Alexandria,22314,500 King Street,,"500 King Street, Alexandria, VA, 22314",Alexandria,VA,1668
Allen,75013,810 W. McDermott Drive,,"810 W. McDermott Drive, Allen, TX, 75013",Allen,TX,1669
Arboretum,78759,9828 Great Hills Trail,Suite 650,"9828 Great Hills Trail, Suite 650, Austin, TX, 78759",Austin,TX,1670
